tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Travel,Travel_keywords,Terrorism,Terrorism_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Education,Education_keywords,Health,Health_keywords,Sports,Sports_keywords,Lifestyle,Lifestyle_keywords,Politics,Politics_keywords,Economy,Economy_keywords,Entertainment,Entertainment_keywords,Religion,Religion_keywords,Stock Exchange,Stock Exchange_keywords,Courthouse types stories,Courthouse types stories_keywords,City Hall types stories,City Hall types stories_keywords,Business,Business_keywords,Leisure,Leisure_keywords,Obituaries,Obituaries_keywords,2nd Amendment,2nd Amendment_keywords,Russian Sphere,Russian Sphere_keywords,Immigration,Immigration_keywords,Race,Race_keywords,State House types stories,State House types stories_keywords,Abortion,Abortion_keywords,Science,Science_keywords,Technology,Technology_keywords
812838140729786368,2743327187,Washington Online,2016-12-25 01:51:00,0.0,(),,,,,0.0,(),0.0,(),,,1.0,"('christmas',)",,,,,,,,,,,,,,,1.0,"('christmas',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
812098194557562880,2753146444,Cleveland Online,2016-12-23 00:51:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812005355223941120,2624554209,Los Angeles Daily,2016-12-22 18:42:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812052668256583680,2753146444,Cleveland Online,2016-12-22 21:50:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811063118415667200,2624554209,Los Angeles Daily,2016-12-20 04:18:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812446000000000000,2752677905,New York City Today,2016-12-23 23:52:00,0.0,(),,,,,0.0,(),0.0,(),,,,,,,1.0,"('disease',)",,,,,2.0,"('obama', 'trump')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811434000000000000,2587843805,KansasCityDailyNews,2016-12-21 04:51:00,0.0,(),,,,,1.0,"('arctic',)",0.0,(),0.0,(),,,,,,,,,,,1.0,"('obama',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812341342345064448,2547141851,Chicago Daily News,2016-12-23 16:57:00,1.0,"('car',)",,,,,0.0,(),0.0,(),1.0,"('police',)",0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810889515132919808,2630842499,San Diego Daily,2016-12-19 16:48:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811289415037415424,2601235821,Pittsburgh Today,2016-12-20 19:17:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811305774093897728,2577082467,Cincinnati Today,2016-12-20 20:22:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),1.0,"('open',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813099587850354688,2587843805,KansasCityDailyNews,2016-12-25 19:10:00,0.0,(),,,,,0.0,(),0.0,(),,,,,,,,,1.0,"('court',)",,,,,,,,,,,,,1.0,"('lawyer',)",,,,,,,,,,,,,,,,,,,,,,,,
811322558213660672,2752677905,New York City Today,2016-12-20 21:29:00,0.0,(),,,,,0.0,(),0.0,(),,,1.0,"('christmas',)",,,,,,,,,,,,,,,1.0,"('christmas',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
811323313289129984,2587843805,KansasCityDailyNews,2016-12-20 21:32:00,0.0,(),,,,,1.0,"('ice',)",0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('ice',)",,,,,,,,,,
813043706383187968,2611151319,Seattle Post,2016-12-25 15:28:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),,,1.0,"('student',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810963769820061696,2570017414,Memphis Online,2016-12-19 21:43:00,0.0,(),,,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,1.0,"('report',)",,,,,,,,,,,,,,,,,,,,,,
810642393359912960,2944944427,Miami Today,2016-12-19 00:26:00,0.0,(),,,,,0.0,(),0.0,(),,,,,,,,,1.0,"('post',)",,,,,,,,,,,,,,,,,1.0,"('facebook',)",,,,,,,,,,,,,,,,,,,,
