tweetid,userid,user_display_name,tweet_time,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Events,Events_keywords,Entertainment,Entertainment_keywords,Politics,Politics_keywords,Economy,Economy_keywords,Business,Business_keywords,City Hall types stories,City Hall types stories_keywords,Lifestyle,Lifestyle_keywords,Health,Health_keywords,Education,Education_keywords,Sports,Sports_keywords,Courthouse types stories,Courthouse types stories_keywords,Obituaries,Obituaries_keywords,Terrorism,Terrorism_keywords,State House types stories,State House types stories_keywords,Religion,Religion_keywords,2nd Amendment,2nd Amendment_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,Russian Sphere,Russian Sphere_keywords,Science,Science_keywords,Technology,Technology_keywords,Race,Race_keywords,Immigration,Immigration_keywords,Police Brutality,Police Brutality_keywords,Stock Exchange,Stock Exchange_keywords,Abortion,Abortion_keywords
697169543567835136,3074563039,St. Louis Online,2016-02-09 21:25:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,2.0,"('health', 'respiratory')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697483380867227648,2530830345,New Orleans Online,2016-02-10 18:12:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,2.0,"('specialist', 'surgery')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698395840402984960,2611151319,Seattle Post,2016-02-13 06:38:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,2.0,"('gop', 'politics')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697219710186713088,2743327187,Washington Online,2016-02-10 00:45:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,1.0,"('obama',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697615642225016832,3074563039,St. Louis Online,2016-02-11 02:58:00,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,1.0,"('department',)",,,1.0,"('justice',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696971477946494976,2611151319,Seattle Post,2016-02-09 08:18:00,0.0,(),0.0,(),,,1.0,"('accuse',)",,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('shoot',)",,,,,,,,,,,,,1.0,"('mass',)",,,,,,,,,,,,
698211181035548672,2743327187,Washington Online,2016-02-12 18:24:00,0.0,(),2.0,"('weather', 'winter')",1.0,"('weather',)",0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696752000000000000,2587843805,KansasCityDailyNews,2016-02-08 17:47:00,0.0,(),0.0,(),,,,,,,1.0,"('business',)",,,1.0,"('business',)",1.0,"('business',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698570859007463424,2494112058,San Jose Daily,2016-02-13 18:14:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697782315632631808,3071479646,Baltimore Online,2016-02-11 14:00:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,1.0,"('vote',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698734302318587904,2601235821,Pittsburgh Today,2016-02-14 05:03:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,2.0,"('politics', 'republican')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697869125087948800,2743327187,Washington Online,2016-02-11 19:45:00,0.0,(),,,,,,,,,1.0,"('business',)",,,1.0,"('business',)",1.0,"('business',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('refugee',)",,,,,,
697972033561321472,3071479646,Baltimore Online,2016-02-12 02:34:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,2.0,"('clinton', 'politics')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696490773466914816,3071479646,Baltimore Online,2016-02-08 00:28:00,0.0,(),0.0,(),,,,,,,,,,,,,1.0,"('food',)",,,,,1.0,"('health',)",,,1.0,"('close',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697361541897809920,2630842499,San Diego Daily,2016-02-10 10:08:00,,,,,,,,,,,1.0,"('business',)",,,1.0,"('business',)",1.0,"('business',)",,,1.0,"('park',)",,,,,,,,,,,,,,,,,,,1.0,"('park',)",,,,,,,,,,,,,,,,,,
697556332564471808,3074563039,St. Louis Online,2016-02-10 23:02:00,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,2.0,"('sport', 'wnba')",,,,,,,,,,,,,,,,,,,,,,,,,1.0,"('border',)",,,,,,
697550109987328000,2530830345,New Orleans Online,2016-02-10 22:38:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,1.0,"('cook',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697512382617128960,2530830345,New Orleans Online,2016-02-10 20:08:00,0.0,(),0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698537280387022848,2530830345,New Orleans Online,2016-02-13 16:00:00,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,1.0,"('veteran',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
