tweetid,userid,user_display_name,tweet_time,Health,Health_keywords,Traffic,Traffic_keywords,Weather (Regular),Weather (Regular)_keywords,Weather (Extreme),Weather (Extreme)_keywords,Crime,Crime_keywords,Lifestyle,Lifestyle_keywords,Travel,Travel_keywords,Leisure,Leisure_keywords,City Hall types stories,City Hall types stories_keywords,Obituaries,Obituaries_keywords,Sports,Sports_keywords,Politics,Politics_keywords,Events,Events_keywords,Business,Business_keywords,Education,Education_keywords,Terrorism,Terrorism_keywords,Entertainment,Entertainment_keywords,Economy,Economy_keywords,Courthouse types stories,Courthouse types stories_keywords,Race,Race_keywords,Technology,Technology_keywords,Religion,Religion_keywords,Stock Exchange,Stock Exchange_keywords,Russian Sphere,Russian Sphere_keywords,State House types stories,State House types stories_keywords,Immigration,Immigration_keywords,2nd Amendment,2nd Amendment_keywords,Science,Science_keywords
7.82e+17,3071479646,Baltimore Online,2016-09-30 20:57:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('school',)",,,,,,,2.0,"('jury', 'verdict')",,,,,,,,,,,,,,,,,,
7.81e+17,3074563039,St. Louis Online,2016-09-28 18:04:00,1.0,"('medicaid',)",0.0,(),,,,,,,,,,,,,,,,,,,,,,,1.0,"('business',)",,,,,2.0,"('business', 'game')",1.0,"('business',)",,,,,,,,,,,,,,,,,,,,
7.82e+17,2530830345,New Orleans Online,2016-09-29 20:28:00,,,0.0,(),0.0,(),,,,,1.0,"('entertainment',)",,,,,,,,,,,,,,,,,1.0,"('education',)",,,1.0,"('entertainment',)",,,,,,,,,,,,,,,,,,,,,,
7.82e+17,2530830345,New Orleans Online,2016-09-30 20:19:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,1.0,"('coach',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.82e+17,2530830345,New Orleans Online,2016-10-02 6:43:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2530830345,New Orleans Online,2016-09-28 4:36:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2495567768,San Francisco Daily,2016-09-29 12:14:00,,,0.0,(),0.0,(),0.0,(),2.0,"('homicide', 'police')",,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.82e+17,2630842499,San Diego Daily,2016-10-01 21:15:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,2.0,"('protest', 'rally')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.82e+17,2591847731,Boston Today,2016-09-30 9:41:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,2.0,"('politics', 'trump')",,,1.0,"('manager',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2587843805,KansasCityDailyNews,2016-09-27 15:45:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2753338899,San Antonio Top News,2016-09-27 22:22:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.82e+17,2495567768,San Francisco Daily,2016-09-29 22:04:00,,,0.0,(),0.0,(),,,,,,,,,,,,,,,,,,,,,1.0,"('facebook',)",1.0,"('school',)",2.0,"('bomb', 'shoot')",,,,,,,,,,,,,,,,,,,,,,,,
7.83e+17,2530830345,New Orleans Online,2016-10-02 11:14:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,0.0,(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2495567768,San Francisco Daily,2016-09-29 13:22:00,,,1.0,"('train',)",0.0,(),0.0,(),0.0,(),,,1.0,"('train',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2743327187,Washington Online,2016-09-28 18:19:00,,,1.0,"('bus',)",0.0,(),0.0,(),1.0,"('police',)",,,,,,,,,,,,,,,,,,,,,,,1.0,"('wait',)",,,,,,,,,,,,,,,,,,,,,,
7.82e+17,2628066159,Houston Top News,2016-09-29 15:04:00,,,0.0,(),0.0,(),0.0,(),,,,,1.0,"('airport',)",,,,,,,,,1.0,"('trump',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2587843805,KansasCityDailyNews,2016-09-28 16:08:00,,,0.0,(),0.0,(),0.0,(),0.0,(),,,,,,,,,1.0,"('mourn',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.81e+17,2753146444,Cleveland Online,2016-09-26 20:39:00,,,0.0,(),0.0,(),0.0,(),,,,,,,,,,,,,,,2.0,"('politics', 'trump')",,,,,,,,,,,1.0,"('profit',)",,,,,,,,,,,,,,,,,,,,
7.82e+17,2530830345,New Orleans Online,2016-09-29 21:13:00,,,0.0,(),0.0,(),0.0,(),,,,,1.0,"('airbnb',)",,,,,,,1.0,"('conference',)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
